timestamp,h_raw,h5S_count,h5S_mean,h5S_variance,h5S_std,s_raw,s5S_count,s5S_mean,s5S_variance,s5S_std
1970-01-01 00:00:05.055479,,12.0,-57.75,1.69,1.3,-83.0,11.0,-73.54,1.78,1.34
1970-01-01 00:00:05.135989,-54.0,12.0,-57.67,1.71,1.31,,11.0,-73.54,1.49,1.22
1970-01-01 00:00:05.215511,,12.0,-57.67,1.71,1.31,-77.0,11.0,-73.61,1.48,1.22
1970-01-01 00:00:05.296151,,12.0,-57.67,1.7,1.3,-74.0,12.0,-73.6,1.47,1.21
1970-01-01 00:00:05.396533,,12.0,-57.67,1.7,1.3,-77.0,13.0,-73.71,1.46,1.21
1970-01-01 00:00:05.486544,,12.0,-57.67,1.71,1.31,-82.0,13.0,-73.95,1.46,1.21
1970-01-01 00:00:05.578128,-55.0,13.0,-57.46,1.73,1.32,,12.0,-74.13,1.49,1.22
1970-01-01 00:00:05.667007,,12.0,-57.58,1.72,1.31,-79.0,12.0,-74.24,1.53,1.24
1970-01-01 00:00:05.747223,,12.0,-57.58,1.69,1.3,-77.0,11.0,-74.46,1.56,1.25
1970-01-01 00:00:05.827960,-56.0,13.0,-57.46,1.69,1.3,,11.0,-74.55,1.6,1.26
1970-01-01 00:00:05.908607,,13.0,-57.46,1.68,1.3,-76.0,12.0,-74.68,1.63,1.28
1970-01-01 00:00:05.988846,-55.0,14.0,-57.29,1.68,1.3,,12.0,-74.74,1.66,1.29
1970-01-01 00:00:06.078542,,13.0,-57.15,1.72,1.31,-77.0,13.0,-74.82,1.69,1.3
1970-01-01 00:00:06.159014,,13.0,-57.15,1.76,1.33,-76.0,12.0,-75.42,1.6,1.27
1970-01-01 00:00:06.249271,,13.0,-57.15,1.79,1.34,-76.0,13.0,-75.71,1.47,1.21
1970-01-01 00:00:06.349827,,13.0,-57.15,1.83,1.35,-62.0,13.0,-75.54,1.3,1.14
1970-01-01 00:00:06.460032,,12.0,-56.0,1.93,1.39,-78.0,14.0,-75.4,0.89,0.94
1970-01-01 00:00:06.550342,,12.0,-56.0,2.02,1.42,-61.0,14.0,-75.05,0.75,0.86
1970-01-01 00:00:06.636042,,12.0,-56.0,2.09,1.45,-58.0,13.0,-74.53,0.7,0.84
1970-01-01 00:00:06.719671,-52.0,12.0,-54.67,2.19,1.48,,13.0,-74.53,0.65,0.81
