Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngX,AngY,AngZ,MagX,MagY,MagZ,Tag
0,-0.04199219,0.9975586,-0.09521484000000001,-0.3051758,0.0,-0.24414059999999999,94.76257,2.224731,90.13184,16.99167,-1.625,-0.125,1
499,-0.04150391,0.9907227,-0.08398438,-0.12207029999999999,0.0,0.0,94.42749,2.389526,90.11536,17.18333,-1.7,-0.1083333,1
729,-0.05126953,0.9985352,-0.09814453000000001,-0.3662109,-0.24414059999999999,0.24414059999999999,94.1748,2.367554,90.03296,16.90833,-1.366667,-0.8083332999999999,1
940,-0.0625,0.9824219,-0.06298828000000001,-6.896973,-5.065918,0.0,93.1311,2.438965,89.76929,16.9,-0.8083332999999999,-1.1,1
1149,-0.03613281,0.9970703,-0.03125,-0.12207029999999999,-0.9155272999999999,1.6479489999999999,91.92261,2.010498,89.60449,19.58333,-38.29167,-2.416667,1
1439,-0.03808594,1.001465,-0.04150391,0.3051758,0.1831055,0.1831055,91.93359,1.8457029999999999,89.79126,17.13333,-0.7000000000000001,-0.09166667,1
1699,-0.020996090000000002,0.9995117,-0.044921880000000004,-0.9765625,-1.89209,0.24414059999999999,91.70288,1.73584,89.63196,17.25833,-0.6416666999999999,-0.725,1
1959,-0.03515625,0.9848633,0.0034179690000000003,-12.93945,-0.7324219,-1.281738,90.41199,1.494141,89.64844,19.275,-39.19167,-3.641667,1
2259,-0.01953125,0.9858397999999999,0.009765625,4.272461,-3.601074,-2.01416,89.57703,1.642456,89.38477,17.00833,-0.15833329999999998,0.2,1
2509,-0.03808594,1.0,-0.017089840000000002,-0.42724609999999996,-0.42724609999999996,-0.6103516,90.20874,1.8731689999999999,89.04968,17.13333,-0.2916667,-0.2,1
2759,-0.04394531,1.007813,-0.009765625,-0.1831055,2.746582,0.3051758,89.76929,1.9006349999999999,89.70886,19.5,-38.99166,-4.05,1
4079,-0.048828130000000004,1.002441,-0.02929688,0.06103516,-2.685547,-0.06103516,90.76355,2.389526,91.46118,16.90833,0.03333333,0.125,1
4309,-0.06347656,1.007324,-0.03271484,-0.3051758,-1.220703,-1.403809,91.13159,2.839966,90.84595,20.08333,-38.1,-2.433333,1
